gender,word_count,average_sentence_length,average_word_length,total_count_punctuation,most_common_words,lexical_diversity,count_foreign_words,count_wh_words,sentiment_score,subjectivity_score,count_slang,pronoun_richness,count_VERB,count_.,"count_,",count_!,count_?,count_semi_colon,count_:,count_-,count_(,count_),count_[,count_],count_{,count_},count_<,count_>,count_/,count_\,count_|,count__,count_+,count_=,count_*,count_&,count_^,count_%,count_$,count_#,count_@,count_~,count_`,pronoun_density_I,pos_statistics_mean_count
male,156,39.0,1.0,14,article,0.6153846153846154,156,0,0.05142045454545455,0.5036931818181818,0,0.02564102564102564,14,4,3,0,0,3,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,10.4
male,115,57.5,1.0,10,summation,0.6434782608695652,115,1,0.12987012987012986,0.5233766233766234,0,0.05217391304347826,14,2,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,9.583333333333334
male,118,39.333333333333336,1.0,8,Documents,0.7288135593220338,118,1,0.05303030303030303,0.2954545454545454,0,0.00847457627118644,11,3,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7.866666666666666
male,167,41.75,1.0,18,Captain,0.6287425149700598,167,1,0.16987179487179488,0.5467948717948719,0,0.023952095808383235,12,4,11,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,11.133333333333333
male,237,26.333333333333332,1.0,29,paper,0.620253164556962,237,3,0.006666666666666665,0.4133333333333334,0,0.05485232067510549,21,9,17,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,15.8
male,206,41.2,1.0,18,essay,0.6067961165048543,206,3,0.2592592592592593,0.4037037037037037,0,0.04854368932038835,30,5,4,0,0,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,13.733333333333333
female,160,26.666666666666668,1.0,16,remains,0.7,160,0,-0.04230769230769231,0.2967948717948718,0,0.025,13,6,4,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,10.666666666666666
female,117,29.25,1.0,11,Eoghan,0.6581196581196581,117,1,0.09166666666666667,0.4708333333333334,0,0.05982905982905983,9,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008547008547008548,7.8
female,132,33.0,1.0,14,author,0.7575757575757576,132,4,0.2087912087912088,0.4035714285714285,2,0.022727272727272728,21,3,2,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,9.428571428571429
female,111,27.75,1.0,13,1839,0.6216216216216216,111,0,0.0,0.21000000000000002,0,0.009009009009009009,11,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7.928571428571429
