iter	Passed	Remaining
0	47	47652
1	48	24021
2	48	16135
3	48	12178
4	49	9799
5	49	8216
6	49	7092
7	50	6241
8	50	5584
9	51	5051
10	51	4625
11	51	4265
12	52	3958
13	52	3695
14	52	3467
15	53	3273
16	53	3097
17	53	2941
18	54	2799
19	54	2672
20	54	2559
21	55	2453
22	55	2357
23	55	2276
24	56	2196
25	56	2123
26	57	2055
27	57	1992
28	57	1932
29	58	1878
30	58	1829
31	58	1781
32	59	1736
33	59	1693
34	59	1652
35	60	1615
36	60	1578
37	60	1543
38	61	1511
39	61	1479
40	61	1449
41	62	1422
42	62	1394
43	62	1367
44	63	1344
45	63	1319
46	63	1296
47	64	1274
48	64	1253
49	64	1233
50	65	1214
51	65	1195
52	65	1177
53	66	1160
54	66	1143
55	66	1127
56	67	1113
57	67	1097
58	67	1082
59	68	1068
60	68	1054
61	68	1041
62	69	1028
63	69	1016
64	69	1005
65	70	993
66	70	982
67	70	971
68	71	960
69	71	950
70	71	940
71	72	930
72	72	921
73	72	911
74	73	903
75	73	894
76	73	885
77	74	876
78	74	868
79	74	860
80	75	852
81	75	844
82	75	837
83	76	829
84	76	822
85	76	815
86	77	808
87	77	801
88	77	795
89	78	789
90	78	782
91	78	776
92	79	770
93	79	765
94	79	759
95	80	753
96	80	747
97	80	742
98	80	736
99	81	731
100	81	725
101	81	720
102	82	716
103	82	710
104	82	705
105	83	700
106	83	695
107	83	691
108	84	686
109	84	682
110	84	678
111	85	674
112	85	670
113	85	666
114	86	662
115	86	658
116	86	654
117	87	650
118	87	647
119	87	643
120	88	640
121	88	636
122	88	632
123	89	628
124	89	625
125	89	621
126	90	618
127	90	615
128	90	612
129	91	609
130	91	606
131	91	602
132	91	599
133	92	596
134	92	593
135	92	590
136	93	587
137	93	584
138	93	581
139	94	578
140	94	576
141	94	573
142	95	570
143	95	567
144	95	565
145	96	562
146	96	559
147	96	557
148	97	554
149	97	552
150	97	549
151	98	547
152	98	545
153	98	542
154	99	540
155	99	537
156	99	535
157	100	533
158	100	530
159	100	528
160	101	526
161	101	524
162	101	522
163	102	520
164	102	518
165	102	515
166	103	514
167	103	512
168	103	510
169	104	508
170	104	505
171	104	503
172	105	502
173	105	500
174	105	498
175	105	496
176	106	494
177	106	492
178	106	490
179	107	488
180	107	487
181	107	485
182	108	483
183	108	482
184	109	480
185	109	478
186	109	477
187	110	475
188	110	473
189	110	472
190	111	470
191	111	469
192	111	467
193	112	466
194	112	464
195	112	463
196	113	461
197	113	460
198	114	459
199	114	457
200	114	456
201	115	454
202	115	453
203	115	451
204	116	450
205	116	449
206	116	447
207	117	446
208	117	445
209	118	444
210	118	442
211	118	441
212	119	440
213	119	439
214	119	437
215	120	436
216	120	435
217	121	434
218	121	432
219	121	431
220	122	430
221	122	428
222	122	427
223	123	426
224	123	425
225	123	424
226	124	422
227	124	421
228	124	420
229	125	419
230	125	418
231	125	416
232	126	415
233	126	414
234	127	413
235	127	412
236	127	411
237	128	410
238	128	408
239	128	407
240	129	406
241	129	405
242	129	404
243	130	403
244	130	402
245	130	400
246	131	399
247	131	398
248	131	397
249	132	396
250	132	395
251	132	394
252	133	393
253	133	392
254	134	391
255	134	390
256	134	389
257	135	388
258	135	387
259	135	386
260	136	385
261	136	384
262	136	383
263	137	382
264	137	381
265	138	380
266	138	379
267	138	378
268	139	377
269	139	376
270	139	375
271	140	374
272	140	373
273	140	373
274	141	372
275	141	371
276	141	370
277	142	369
278	142	368
279	143	367
280	143	367
281	143	366
282	144	365
283	144	364
284	144	363
285	145	362
286	145	361
287	145	360
288	147	363
289	148	363
290	148	363
291	149	362
292	150	362
293	150	361
294	151	361
295	151	360
296	151	359
297	152	358
298	152	357
299	152	356
300	153	355
301	153	354
302	153	354
303	154	353
304	154	352
305	155	351
306	155	350
307	155	350
308	156	349
309	156	348
310	156	347
311	157	347
312	157	346
313	158	345
314	158	344
315	158	343
316	159	343
317	159	342
318	159	341
319	160	340
320	160	339
321	161	339
322	161	338
323	161	337
324	162	336
325	162	336
326	162	335
327	163	334
328	163	333
329	164	333
330	164	332
331	164	331
332	165	331
333	165	330
334	166	329
335	166	328
336	166	328
337	167	327
338	167	326
339	167	325
340	168	325
341	168	324
342	168	323
343	169	322
344	169	322
345	170	321
346	170	320
347	170	319
348	171	319
349	171	318
350	171	317
351	172	316
352	172	316
353	172	315
354	173	314
355	173	314
356	173	313
357	174	312
358	174	311
359	174	311
360	175	310
361	175	309
362	176	308
363	176	308
364	176	307
365	177	306
366	177	306
367	177	305
368	178	304
369	178	303
370	178	303
371	179	302
372	179	301
373	179	301
374	180	300
375	180	299
376	180	299
377	181	298
378	181	297
379	181	296
380	182	296
381	182	295
382	182	294
383	183	293
384	183	293
385	183	292
386	184	291
387	184	291
388	184	290
389	185	289
390	185	289
391	185	288
392	186	287
393	186	287
394	187	286
395	187	285
396	187	285
397	188	284
398	188	283
399	188	283
400	189	282
401	189	281
402	189	281
403	190	280
404	190	279
405	190	279
406	191	278
407	191	277
408	191	277
409	192	276
410	192	275
411	192	274
412	192	274
413	193	273
414	193	272
415	193	272
416	194	271
417	194	270
418	194	270
419	195	269
420	195	269
421	195	268
422	196	267
423	196	267
424	196	266
425	197	265
426	197	265
427	197	264
428	198	263
429	198	263
430	198	262
431	199	261
432	199	261
433	199	260
434	200	260
435	200	259
436	200	258
437	201	258
438	201	257
439	201	256
440	202	256
441	202	255
442	202	254
443	203	254
444	203	253
445	203	253
446	204	252
447	204	251
448	204	251
449	205	250
450	205	249
451	205	249
452	205	248
453	206	248
454	206	247
455	206	246
456	207	246
457	207	245
458	207	245
459	208	244
460	208	243
461	208	243
462	209	242
463	209	242
464	209	241
465	210	240
466	210	240
467	210	239
468	211	239
469	211	238
470	211	237
471	212	237
472	212	236
473	212	236
474	213	235
475	213	234
476	213	234
477	214	233
478	214	233
479	214	232
480	215	232
481	215	231
482	215	230
483	216	230
484	216	229
485	216	229
486	216	228
487	217	228
488	217	227
489	218	226
490	218	226
491	218	225
492	218	225
493	219	224
494	219	223
495	219	223
496	220	222
497	220	222
498	220	221
499	221	221
500	221	220
501	221	219
502	222	219
503	222	218
504	222	218
505	223	217
506	223	217
507	223	216
508	224	216
509	224	215
510	224	215
511	225	214
512	225	214
513	225	213
514	226	213
515	226	212
516	226	211
517	227	211
518	227	210
519	227	210
520	228	209
521	228	209
522	228	208
523	229	208
524	229	207
525	229	207
526	230	206
527	230	206
528	230	205
529	231	205
530	231	204
531	231	203
532	232	203
533	232	202
534	232	202
535	233	201
536	233	201
537	233	200
538	234	200
539	234	199
540	234	199
541	234	198
542	235	198
543	235	197
544	236	197
545	236	196
546	236	196
547	237	195
548	237	195
549	237	194
550	238	194
551	238	193
