iter	Passed	Remaining
552	238	193
553	239	192
554	239	191
555	239	191
556	240	190
557	240	190
558	240	189
559	241	189
560	241	188
561	241	188
562	242	188
563	242	187
564	242	186
565	243	186
566	243	185
567	243	185
568	244	184
569	244	184
570	244	183
571	245	183
572	245	182
573	245	182
574	246	181
575	246	181
576	246	180
577	247	180
578	247	179
579	247	179
580	248	178
581	248	178
582	248	177
583	249	177
584	249	176
585	249	176
586	250	175
587	250	175
588	250	175
589	251	174
590	251	174
591	251	173
592	252	173
593	252	172
594	252	172
595	253	171
596	253	171
597	254	170
598	254	170
599	254	169
600	255	169
601	255	168
602	255	168
603	256	167
604	256	167
605	256	167
606	257	166
607	257	166
608	257	165
609	258	165
610	258	164
611	259	164
612	259	163
613	259	163
614	260	162
615	260	162
616	260	161
617	261	161
618	261	160
619	261	160
620	262	159
621	262	159
622	262	159
623	263	158
624	263	158
625	263	157
626	264	157
627	264	156
628	264	156
629	265	155
630	265	155
631	266	154
632	266	154
633	266	153
634	267	153
635	267	153
636	267	152
637	268	152
638	268	151
639	268	151
640	269	150
641	269	150
642	269	149
643	270	149
644	270	148
645	270	148
646	271	148
647	271	147
648	271	147
649	272	146
650	272	146
651	273	145
652	273	145
653	273	144
654	274	144
655	274	143
656	274	143
657	274	142
658	275	142
659	275	142
660	276	141
661	276	141
662	276	140
663	277	140
664	277	139
665	277	139
666	278	138
667	278	138
668	278	138
669	279	137
670	279	137
671	279	136
672	280	136
673	280	135
674	281	135
675	281	134
676	281	134
677	282	133
678	282	133
679	282	133
680	282	132
681	283	132
682	283	131
683	283	131
684	284	130
685	284	130
686	284	129
687	285	129
688	285	128
689	285	128
690	286	128
691	286	127
692	286	127
693	287	126
694	287	126
695	287	125
696	288	125
697	288	124
698	288	124
699	289	123
700	289	123
701	289	123
702	290	122
703	290	122
704	290	121
705	291	121
706	291	120
707	291	120
708	292	119
709	292	119
710	292	119
711	293	118
712	293	118
713	293	117
714	294	117
715	294	116
716	294	116
717	295	115
718	295	115
719	296	115
720	296	114
721	296	114
722	297	113
723	297	113
724	297	112
725	298	112
726	298	112
727	298	111
728	299	111
729	299	110
730	299	110
731	300	109
732	300	109
733	300	109
734	301	108
735	301	108
736	301	107
737	302	107
738	302	106
739	302	106
740	303	105
741	303	105
742	303	105
743	304	104
744	304	104
745	304	103
746	305	103
747	305	102
748	305	102
749	306	102
750	306	101
751	306	101
752	307	100
753	307	100
754	307	99
755	308	99
756	308	99
757	308	98
758	309	98
759	309	97
760	309	97
761	310	96
762	310	96
763	311	96
764	311	95
765	311	95
766	312	94
767	312	94
768	312	93
769	313	93
770	313	93
771	313	92
772	314	92
773	314	91
774	315	91
775	315	91
776	315	90
777	316	90
778	316	89
779	316	89
780	317	88
781	317	88
782	317	88
783	318	87
784	318	87
785	319	86
786	319	86
787	319	86
788	320	85
789	320	85
790	320	84
791	321	84
792	321	83
793	321	83
794	322	83
795	322	82
796	322	82
797	323	81
798	323	81
799	323	80
800	324	80
801	324	80
802	324	79
803	325	79
804	325	78
805	325	78
806	326	77
807	326	77
808	326	77
809	327	76
810	327	76
811	327	75
812	328	75
813	328	75
814	328	74
815	329	74
816	329	73
817	329	73
818	330	72
819	330	72
820	330	72
821	331	71
822	331	71
823	331	70
824	332	70
825	332	70
826	332	69
827	333	69
828	333	68
829	333	68
830	334	67
831	334	67
832	334	67
833	335	66
834	335	66
835	335	65
836	336	65
837	336	65
838	336	64
839	337	64
840	337	63
841	337	63
842	338	62
843	338	62
844	338	62
845	339	61
846	339	61
847	339	60
848	340	60
849	340	60
850	340	59
851	341	59
852	341	58
853	341	58
854	342	58
855	342	57
856	342	57
857	343	56
858	343	56
859	344	56
860	344	55
861	344	55
862	345	54
863	345	54
864	345	53
865	346	53
866	346	53
867	346	52
868	347	52
869	347	51
870	347	51
871	348	51
872	348	50
873	348	50
874	349	49
875	349	49
876	349	49
877	350	48
878	350	48
879	350	47
880	351	47
881	351	47
882	351	46
883	352	46
884	352	45
885	352	45
886	353	44
887	353	44
888	353	44
889	354	43
890	354	43
891	354	42
892	355	42
893	355	42
894	355	41
895	356	41
896	356	40
897	356	40
898	357	40
899	357	39
900	357	39
901	358	38
902	358	38
903	358	38
904	359	37
905	359	37
906	359	36
907	360	36
908	360	36
909	360	35
910	361	35
911	361	34
912	361	34
913	362	34
914	362	33
915	362	33
916	363	32
917	363	32
918	364	32
919	364	31
920	364	31
921	365	30
922	365	30
923	365	30
924	365	29
925	366	29
926	366	28
927	366	28
928	367	28
929	367	27
930	367	27
931	368	26
932	368	26
933	368	26
934	369	25
935	369	25
936	369	24
937	370	24
938	370	24
939	371	23
940	371	23
941	371	22
942	372	22
943	372	22
944	372	21
945	373	21
946	373	20
947	373	20
948	374	20
949	374	19
950	374	19
951	375	18
952	375	18
953	376	18
954	376	17
955	376	17
956	377	16
957	377	16
958	377	16
959	378	15
960	378	15
961	378	14
962	379	14
963	379	14
964	379	13
965	380	13
966	380	12
967	380	12
968	381	12
969	381	11
970	381	11
971	382	11
972	382	10
973	382	10
974	383	9
975	383	9
976	383	9
977	384	8
978	384	8
979	385	7
980	385	7
981	385	7
982	386	6
983	386	6
984	386	5
985	386	5
986	387	5
987	387	4
988	387	4
989	388	3
990	388	3
991	388	3
992	389	2
993	389	2
994	389	1
995	390	1
996	390	1
997	390	0
998	391	0
999	391	0
