iter	Logloss
0	0.6918954983
1	0.6911313024
2	0.6904680698
3	0.6892225948
4	0.6883129209
5	0.6879137217
6	0.6870013395
7	0.6858552458
8	0.6841096194
9	0.6834740627
10	0.6820566063
11	0.6809009365
12	0.6795744719
13	0.6789499745
14	0.6784185481
15	0.6774173239
16	0.6766786478
17	0.6753225855
18	0.6744951928
19	0.6740609422
20	0.673526155
21	0.6729320865
22	0.6713170556
23	0.6694211984
24	0.6686224463
25	0.6683459772
26	0.668142189
27	0.6667000244
28	0.6661419566
29	0.6653122488
30	0.6639502225
31	0.6634568036
32	0.662331785
33	0.6610100409
34	0.6594303874
35	0.6584698336
36	0.657875085
37	0.6566464347
38	0.655460193
39	0.6546676058
40	0.6541371843
41	0.653515529
42	0.6524301081
43	0.6511284653
44	0.6492884845
45	0.6477820597
46	0.6469681837
47	0.6461440748
48	0.6454032688
49	0.644439454
50	0.6436024991
51	0.6425757209
52	0.641978354
53	0.6408880397
54	0.6397555295
55	0.6384230294
56	0.6374127476
57	0.6363664722
58	0.6348916494
59	0.6339419863
60	0.6327153485
61	0.6317123124
62	0.6306926331
63	0.6298593073
64	0.6280535757
65	0.6277517555
66	0.6265532414
67	0.6261296279
68	0.6255713719
69	0.6245823139
70	0.6234005784
71	0.622186528
72	0.6213466184
73	0.6207962883
74	0.6201523419
75	0.6193468277
76	0.6188415131
77	0.617705903
78	0.6170942731
79	0.6158231322
80	0.6154189253
81	0.6150112114
82	0.6136600487
83	0.6132236111
84	0.6119814381
85	0.6108999252
86	0.6104791342
87	0.6097932172
88	0.6090038108
89	0.6079463804
90	0.6067793796
91	0.6061948036
92	0.6048751575
93	0.6038216857
94	0.6029886855
95	0.6019582464
96	0.6006199579
97	0.599882925
98	0.5990176899
99	0.5986325686
100	0.597960521
101	0.597297131
102	0.5965397297
103	0.5953476058
104	0.5944228903
105	0.5939978579
106	0.5932675591
107	0.5926475198
108	0.5917635319
109	0.5910604601
110	0.5905789742
111	0.5897184359
112	0.5887855135
113	0.5878614164
114	0.5872923815
115	0.5867279796
116	0.5864544946
117	0.5855870817
118	0.5845357429
119	0.5835425133
